name,wikipedia_url
3D optical data storage,https://en.wikipedia.org/wiki/3D_optical_data_storage
3D printing,https://en.wikipedia.org/wiki/3D_printing
3M22 Zircon,https://en.wikipedia.org/wiki/3M22_Zircon
3rd Space Vest,https://en.wikipedia.org/wiki/3rd_Space_Vest
4D film,https://en.wikipedia.org/wiki/4D_film
4D printing,https://en.wikipedia.org/wiki/4D_printing
6G (network),https://en.wikipedia.org/wiki/6G_(network)
Accumulator (energy),https://en.wikipedia.org/wiki/Accumulator_(energy)
Active structure,https://en.wikipedia.org/wiki/Active_structure
Actuator,https://en.wikipedia.org/wiki/Actuator
Adaptive Compliant Wing,https://en.wikipedia.org/wiki/Adaptive_Compliant_Wing
Adaptive optics,https://en.wikipedia.org/wiki/Adaptive_optics#Adaptive_optics_in_retinal_imaging
Advanced Tactical Laser,https://en.wikipedia.org/wiki/Advanced_Tactical_Laser
AeroMobil,https://en.wikipedia.org/wiki/AeroMobil
AeroVironment,https://en.wikipedia.org/wiki/AeroVironment
AeroVironment Global Observer,https://en.wikipedia.org/wiki/AeroVironment_Global_Observer
AeroVironment Nano Hummingbird,https://en.wikipedia.org/wiki/AeroVironment_Nano_Hummingbird
Aerogel,https://en.wikipedia.org/wiki/Aerogel
Aerospace engineering,https://en.wikipedia.org/wiki/Aerospace_engineering
Agricultural drone,https://en.wikipedia.org/wiki/Agricultural_drone
Agricultural robot,https://en.wikipedia.org/wiki/Agricultural_robot
Agriculture,https://en.wikipedia.org/wiki/Agriculture
Air pollution,https://en.wikipedia.org/wiki/Air_pollution
Airborne wind turbine,https://en.wikipedia.org/wiki/Airborne_wind_turbine
Aircraft flight control system,https://en.wikipedia.org/wiki/Aircraft_flight_control_system
Airlander 10,https://en.wikipedia.org/wiki/Airlander_10
Airless tire,https://en.wikipedia.org/wiki/Airless_tire
Alcor Life Extension Foundation,https://en.wikipedia.org/wiki/Alcor_Life_Extension_Foundation
Americium,https://en.wikipedia.org/wiki/Americium#Radionuclide
Ammunition,https://en.wikipedia.org/wiki/Ammunition
Amorphous metal,https://en.wikipedia.org/wiki/Amorphous_metal
Amorphous metal transformer,https://en.wikipedia.org/wiki/Amorphous_metal_transformer
Analogue electronics,https://en.wikipedia.org/wiki/Analogue_electronics
Android (robot),https://en.wikipedia.org/wiki/Android_(robot)
Animal husbandry,https://en.wikipedia.org/wiki/Animal_husbandry
Animal testing,https://en.wikipedia.org/wiki/Animal_testing
Anthropogeny,https://en.wikipedia.org/wiki/Anthropogeny
Apple Pay,https://en.wikipedia.org/wiki/Apple_Pay
Applications of artificial intelligence,https://en.wikipedia.org/wiki/Applications_of_artificial_intelligence
ArXiv (identifier),https://en.wikipedia.org/wiki/ArXiv_(identifier)
Arcology,https://en.wikipedia.org/wiki/Arcology
Armor,https://en.wikipedia.org/wiki/Armor
Armoured fighting vehicle,https://en.wikipedia.org/wiki/Armoured_fighting_vehicle
Artificial Passenger,https://en.wikipedia.org/wiki/Artificial_Passenger
Artificial brain,https://en.wikipedia.org/wiki/Artificial_brain
Artificial general intelligence,https://en.wikipedia.org/wiki/Artificial_general_intelligence
Artificial gravity,https://en.wikipedia.org/wiki/Artificial_gravity
Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
Artificial pacemaker,https://en.wikipedia.org/wiki/Artificial_pacemaker
Artificial photosynthesis,https://en.wikipedia.org/wiki/Artificial_photosynthesis
Artificial uterus,https://en.wikipedia.org/wiki/Artificial_uterus
Asteroid mining,https://en.wikipedia.org/wiki/Asteroid_mining
Atlas (robot),https://en.wikipedia.org/wiki/Atlas_(robot)
Atmospheric satellite,https://en.wikipedia.org/wiki/Atmospheric_satellite
Atmospheric water generator,https://en.wikipedia.org/wiki/Atmospheric_water_generator
Augmented reality,https://en.wikipedia.org/wiki/Augmented_reality
Automated guided vehicle,https://en.wikipedia.org/wiki/Automated_guided_vehicle
Automation,https://en.wikipedia.org/wiki/Automation
Autonomous Rail Rapid Transit,https://en.wikipedia.org/wiki/Autonomous_Rail_Rapid_Transit
Autonomous building,https://en.wikipedia.org/wiki/Autonomous_building
Autonomous research robot,https://en.wikipedia.org/wiki/Autonomous_research_robot
Autonomous robotics,https://en.wikipedia.org/wiki/Autonomous_robotics
Autonomous underwater vehicle,https://en.wikipedia.org/wiki/Autonomous_underwater_vehicle
Autostereoscopy,https://en.wikipedia.org/wiki/Autostereoscopy
Avangard (hypersonic glide vehicle),https://en.wikipedia.org/wiki/Avangard_(hypersonic_glide_vehicle)
Aérotrain,https://en.wikipedia.org/wiki/A%C3%A9rotrain
BAE Systems Demon,https://en.wikipedia.org/wiki/BAE_Systems_Demon
BSI Group,https://en.wikipedia.org/wiki/BSI_Group
Backpack helicopter,https://en.wikipedia.org/wiki/Backpack_helicopter
Battery electric vehicle,https://en.wikipedia.org/wiki/Battery_electric_vehicle
Behavior-based robotics,https://en.wikipedia.org/wiki/Behavior-based_robotics
Bibcode (identifier),https://en.wikipedia.org/wiki/Bibcode_(identifier)
Bigelow Aerospace,https://en.wikipedia.org/wiki/Bigelow_Aerospace
BioBrick,https://en.wikipedia.org/wiki/BioBrick
Bioethics,https://en.wikipedia.org/wiki/Bioethics
Biological immortality,https://en.wikipedia.org/wiki/Biological_immortality
Biometrics,https://en.wikipedia.org/wiki/Biometrics
Bionic contact lens,https://en.wikipedia.org/wiki/Bionic_contact_lens
Bioplastic,https://en.wikipedia.org/wiki/Bioplastic
Biopunk movement,https://en.wikipedia.org/wiki/Biopunk_movement
Bioremediation,https://en.wikipedia.org/wiki/Bioremediation
Biosensor,https://en.wikipedia.org/wiki/Biosensor
Bioshelter,https://en.wikipedia.org/wiki/Bioshelter
Biosphere 2,https://en.wikipedia.org/wiki/Biosphere_2
Bird Global,https://en.wikipedia.org/wiki/Bird_Global
Bitcoin,https://en.wikipedia.org/wiki/Bitcoin
Blockchain,https://en.wikipedia.org/wiki/Blockchain
Bloom Energy Server,https://en.wikipedia.org/wiki/Bloom_Energy_Server
Blu-ray Disc,https://en.wikipedia.org/wiki/Blu-ray_Disc
Blue Brain Project,https://en.wikipedia.org/wiki/Blue_Brain_Project
Boeing X-51 Waverider,https://en.wikipedia.org/wiki/Boeing_X-51_Waverider
Bomb disposal,https://en.wikipedia.org/wiki/Bomb_disposal
Border control,https://en.wikipedia.org/wiki/Border_control
BrahMos-II,https://en.wikipedia.org/wiki/BrahMos-II
Brain implant,https://en.wikipedia.org/wiki/Brain_implant
Brain transplant,https://en.wikipedia.org/wiki/Brain_transplant
Brain-reading,https://en.wikipedia.org/wiki/Brain-reading
BrainGate,https://en.wikipedia.org/wiki/BrainGate
Brain–computer interface,https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface
Brain–computer interfaces,https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interfaces
Breakthrough Starshot,https://en.wikipedia.org/wiki/Breakthrough_Starshot
BrightSource Energy,https://en.wikipedia.org/wiki/BrightSource_Energy
CBRAM,https://en.wikipedia.org/wiki/CBRAM
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Camera,https://en.wikipedia.org/wiki/Camera
Cancer,https://en.wikipedia.org/wiki/Cancer
Carbon nanotube field-effect transistor,https://en.wikipedia.org/wiki/Carbon_nanotube_field-effect_transistor
Carbon nanotubes,https://en.wikipedia.org/wiki/Carbon_nanotubes
Carbon-fiber-reinforced polymers,https://en.wikipedia.org/wiki/Carbon-fiber-reinforced_polymers
Cartridge (firearms),https://en.wikipedia.org/wiki/Cartridge_(firearms)
Caseless ammunition,https://en.wikipedia.org/wiki/Caseless_ammunition
Cashierless store,https://en.wikipedia.org/wiki/Cashierless_store
Casuistry,https://en.wikipedia.org/wiki/Casuistry
Central bank digital currency,https://en.wikipedia.org/wiki/Central_bank_digital_currency
Chemical weapon,https://en.wikipedia.org/wiki/Chemical_weapon
Civic technology,https://en.wikipedia.org/wiki/Civic_technology
Cloaking device,https://en.wikipedia.org/wiki/Cloaking_device
Closed ecological system,https://en.wikipedia.org/wiki/Closed_ecological_system
Cloud gaming,https://en.wikipedia.org/wiki/Cloud_gaming
Cochlear implant,https://en.wikipedia.org/wiki/Cochlear_implant
Cognitive radio,https://en.wikipedia.org/wiki/Cognitive_radio
Coilgun,https://en.wikipedia.org/wiki/Coilgun
Communication,https://en.wikipedia.org/wiki/Communication
Comparison of display technology,https://en.wikipedia.org/wiki/Comparison_of_display_technology
Computer data storage,https://en.wikipedia.org/wiki/Computer_data_storage
Computer ethics,https://en.wikipedia.org/wiki/Computer_ethics
Computer interface,https://en.wikipedia.org/wiki/Computer_interface
Computer vision,https://en.wikipedia.org/wiki/Computer_vision
Computer-generated holography,https://en.wikipedia.org/wiki/Computer-generated_holography
Concentrated solar power,https://en.wikipedia.org/wiki/Concentrated_solar_power
Conductive polymer,https://en.wikipedia.org/wiki/Conductive_polymer
Construction,https://en.wikipedia.org/wiki/Construction
Control theory,https://en.wikipedia.org/wiki/Control_theory
Cruise missile,https://en.wikipedia.org/wiki/Cruise_missile#Hypersonic
Cryogenic treatment,https://en.wikipedia.org/wiki/Cryogenic_treatment
Cryogenics,https://en.wikipedia.org/wiki/Cryogenics
Cryonics,https://en.wikipedia.org/wiki/Cryonics
Cryonics Institute,https://en.wikipedia.org/wiki/Cryonics_Institute
Cryoprotectant,https://en.wikipedia.org/wiki/Cryoprotectant
Cryptocurrency,https://en.wikipedia.org/wiki/Cryptocurrency
Cultured meat,https://en.wikipedia.org/wiki/Cultured_meat
Cyborg,https://en.wikipedia.org/wiki/Cyborg
DALL-E,https://en.wikipedia.org/wiki/DALL-E
DARPA Falcon Project,https://en.wikipedia.org/wiki/DARPA_Falcon_Project
DESERTEC,https://en.wikipedia.org/wiki/DESERTEC
DF-ZF,https://en.wikipedia.org/wiki/DF-ZF
DNA digital data storage,https://en.wikipedia.org/wiki/DNA_digital_data_storage
DNA vaccine,https://en.wikipedia.org/wiki/DNA_vaccine
Data communication,https://en.wikipedia.org/wiki/Data_communication
De-extinction,https://en.wikipedia.org/wiki/De-extinction
Dedicated short-range communications,https://en.wikipedia.org/wiki/Dedicated_short-range_communications
DeepDream,https://en.wikipedia.org/wiki/DeepDream
Deepfake,https://en.wikipedia.org/wiki/Deepfake
Dense plasma focus,https://en.wikipedia.org/wiki/Dense_plasma_focus
Designer baby,https://en.wikipedia.org/wiki/Designer_baby
Desorption,https://en.wikipedia.org/wiki/Desorption
Differential technological development,https://en.wikipedia.org/wiki/Differential_technological_development
Diffusion (business),https://en.wikipedia.org/wiki/Diffusion_(business)
Diffusion of innovations,https://en.wikipedia.org/wiki/Diffusion_of_innovations
Digital currency,https://en.wikipedia.org/wiki/Digital_currency
Digital euro,https://en.wikipedia.org/wiki/Digital_euro
Digital image processing,https://en.wikipedia.org/wiki/Digital_image_processing
Digital rupee,https://en.wikipedia.org/wiki/Digital_rupee
Digital scent technology,https://en.wikipedia.org/wiki/Digital_scent_technology
Digital wallet,https://en.wikipedia.org/wiki/Digital_wallet
Directed-energy weapon,https://en.wikipedia.org/wiki/Directed-energy_weapon
Disabled,https://en.wikipedia.org/wiki/Disabled
Disfigurement,https://en.wikipedia.org/wiki/Disfigurement
Display device,https://en.wikipedia.org/wiki/Display_device
Disruptive innovation,https://en.wikipedia.org/wiki/Disruptive_innovation
Distributed propulsion,https://en.wikipedia.org/wiki/Distributed_propulsion
Doi (identifier),https://en.wikipedia.org/wiki/Doi_(identifier)
Domed city,https://en.wikipedia.org/wiki/Domed_city
Driverless car,https://en.wikipedia.org/wiki/Driverless_car
Dry ice,https://en.wikipedia.org/wiki/Dry_ice
Duke University Medical Center Patient Rapid Transit,https://en.wikipedia.org/wiki/Duke_University_Medical_Center_Patient_Rapid_Transit
E-democracy,https://en.wikipedia.org/wiki/E-democracy
E-textiles,https://en.wikipedia.org/wiki/E-textiles
ET3 Global Alliance,https://en.wikipedia.org/wiki/ET3_Global_Alliance
EVTOL,https://en.wikipedia.org/wiki/EVTOL
EXACTO,https://en.wikipedia.org/wiki/EXACTO
Earthquake-resistant structures,https://en.wikipedia.org/wiki/Earthquake-resistant_structures
Earthscraper,https://en.wikipedia.org/wiki/Earthscraper
Ecological modernization,https://en.wikipedia.org/wiki/Ecological_modernization
Eden Project,https://en.wikipedia.org/wiki/Eden_Project
Edible packaging,https://en.wikipedia.org/wiki/Edible_packaging
Elderly,https://en.wikipedia.org/wiki/Elderly
Electric armour,https://en.wikipedia.org/wiki/Electric_armour
Electric battery,https://en.wikipedia.org/wiki/Electric_battery
Electric car,https://en.wikipedia.org/wiki/Electric_car
Electric grid,https://en.wikipedia.org/wiki/Electric_grid
Electric vehicle,https://en.wikipedia.org/wiki/Electric_vehicle
Electrical grid,https://en.wikipedia.org/wiki/Electrical_grid
Electroencephalography,https://en.wikipedia.org/wiki/Electroencephalography
Electrohydrodynamics,https://en.wikipedia.org/wiki/Electrohydrodynamics
Electrolaser,https://en.wikipedia.org/wiki/Electrolaser
Electronic countermeasure,https://en.wikipedia.org/wiki/Electronic_countermeasure
Electronic medical record,https://en.wikipedia.org/wiki/Electronic_medical_record
Electronic nose,https://en.wikipedia.org/wiki/Electronic_nose
Electrorheological fluid,https://en.wikipedia.org/wiki/Electrorheological_fluid
Electrothermal-chemical technology,https://en.wikipedia.org/wiki/Electrothermal-chemical_technology
Embryo space colonization,https://en.wikipedia.org/wiki/Embryo_space_colonization
Emergency vehicle,https://en.wikipedia.org/wiki/Emergency_vehicle
Emerging technologies,https://en.wikipedia.org/wiki/Emerging_technologies
Energy harvesting,https://en.wikipedia.org/wiki/Energy_harvesting
Energy storage,https://en.wikipedia.org/wiki/Energy_storage
Engineering ethics,https://en.wikipedia.org/wiki/Engineering_ethics
Entertainment,https://en.wikipedia.org/wiki/Entertainment
Environmental technology,https://en.wikipedia.org/wiki/Environmental_technology
Enzybiotics,https://en.wikipedia.org/wiki/Enzybiotics
Ethereum,https://en.wikipedia.org/wiki/Ethereum
Europe Gate,https://en.wikipedia.org/wiki/Europe_Gate
Exascale computing,https://en.wikipedia.org/wiki/Exascale_computing
Exocortex,https://en.wikipedia.org/wiki/Exocortex
Expendable launch system,https://en.wikipedia.org/wiki/Expendable_launch_system
Experience machine,https://en.wikipedia.org/wiki/Experience_machine
Explosively pumped flux compression generator,https://en.wikipedia.org/wiki/Explosively_pumped_flux_compression_generator
EyeTap,https://en.wikipedia.org/wiki/EyeTap
FJG RAM,https://en.wikipedia.org/wiki/FJG_RAM
Ferroelectric RAM,https://en.wikipedia.org/wiki/Ferroelectric_RAM
Film,https://en.wikipedia.org/wiki/Film
Finance,https://en.wikipedia.org/wiki/Finance
Firefighting,https://en.wikipedia.org/wiki/Firefighting
Flexible electronics,https://en.wikipedia.org/wiki/Flexible_electronics
Flexible organic light-emitting diode,https://en.wikipedia.org/wiki/Flexible_organic_light-emitting_diode
Fluidics,https://en.wikipedia.org/wiki/Fluidics#Research
Flying car (aircraft),https://en.wikipedia.org/wiki/Flying_car_(aircraft)
Flywheel energy storage,https://en.wikipedia.org/wiki/Flywheel_energy_storage
Food packaging,https://en.wikipedia.org/wiki/Food_packaging#rfid
Food spoilage,https://en.wikipedia.org/wiki/Food_spoilage
Force field (fiction),https://en.wikipedia.org/wiki/Force_field_(fiction)
Fox News,https://en.wikipedia.org/wiki/Fox_News
Frugal innovation,https://en.wikipedia.org/wiki/Frugal_innovation
Fuel cell vehicle,https://en.wikipedia.org/wiki/Fuel_cell_vehicle
Full genome sequencing,https://en.wikipedia.org/wiki/Full_genome_sequencing
Fullerene,https://en.wikipedia.org/wiki/Fullerene
Fusion power,https://en.wikipedia.org/wiki/Fusion_power
Fusion rocket,https://en.wikipedia.org/wiki/Fusion_rocket
Future Force Warrior,https://en.wikipedia.org/wiki/Future_Force_Warrior
GNU Radio,https://en.wikipedia.org/wiki/GNU_Radio
Gamut,https://en.wikipedia.org/wiki/Gamut
Gastrobot,https://en.wikipedia.org/wiki/Gastrobot
GeForce Now,https://en.wikipedia.org/wiki/GeForce_Now
Gene doping,https://en.wikipedia.org/wiki/Gene_doping
Gene therapy,https://en.wikipedia.org/wiki/Gene_therapy
Generation IV reactor,https://en.wikipedia.org/wiki/Generation_IV_reactor
Genetic engineering,https://en.wikipedia.org/wiki/Genetic_engineering
Genetic pollution,https://en.wikipedia.org/wiki/Genetic_pollution
Genetically modified food,https://en.wikipedia.org/wiki/Genetically_modified_food
Google Glass,https://en.wikipedia.org/wiki/Google_Glass
Google Pay (payment method),https://en.wikipedia.org/wiki/Google_Pay_(payment_method)
Google Stadia,https://en.wikipedia.org/wiki/Google_Stadia
Graphene,https://en.wikipedia.org/wiki/Graphene
Gravitomagnetism,https://en.wikipedia.org/wiki/Gravitomagnetism
Gravity battery,https://en.wikipedia.org/wiki/Gravity_battery
Green bullet,https://en.wikipedia.org/wiki/Green_bullet
Green development,https://en.wikipedia.org/wiki/Green_development
Greenhouse,https://en.wikipedia.org/wiki/Greenhouse
Ground effect train,https://en.wikipedia.org/wiki/Ground_effect_train
Ground effect vehicle,https://en.wikipedia.org/wiki/Ground_effect_vehicle
Ground-level power supply,https://en.wikipedia.org/wiki/Ground-level_power_supply
Gynoid,https://en.wikipedia.org/wiki/Gynoid
H101 virus,https://en.wikipedia.org/wiki/H101_virus
Hand transplantation,https://en.wikipedia.org/wiki/Hand_transplantation
Handheld game console,https://en.wikipedia.org/wiki/Handheld_game_console
Haptic suit,https://en.wikipedia.org/wiki/Haptic_suit
Hard disk drive,https://en.wikipedia.org/wiki/Hard_disk_drive
Head transplant,https://en.wikipedia.org/wiki/Head_transplant
Head-mounted display,https://en.wikipedia.org/wiki/Head-mounted_display
Head-up display,https://en.wikipedia.org/wiki/Head-up_display
Heat-Assisted Magnetic Recording,https://en.wikipedia.org/wiki/Heat-Assisted_Magnetic_Recording
Heat-assisted magnetic recording,https://en.wikipedia.org/wiki/Heat-assisted_magnetic_recording
Hibernation,https://en.wikipedia.org/wiki/Hibernation
High Energy Liquid Laser Area Defense System,https://en.wikipedia.org/wiki/High_Energy_Liquid_Laser_Area_Defense_System
High temperature superconductivity,https://en.wikipedia.org/wiki/High_temperature_superconductivity
High-temperature superconductivity,https://en.wikipedia.org/wiki/High-temperature_superconductivity
Holodeck,https://en.wikipedia.org/wiki/Holodeck
Holographic Versatile Disc,https://en.wikipedia.org/wiki/Holographic_Versatile_Disc
Holographic data storage,https://en.wikipedia.org/wiki/Holographic_data_storage
Holographic display,https://en.wikipedia.org/wiki/Holographic_display
Holography,https://en.wikipedia.org/wiki/Holography
Home fuel cell,https://en.wikipedia.org/wiki/Home_fuel_cell
Home security,https://en.wikipedia.org/wiki/Home_security
Hoverbike,https://en.wikipedia.org/wiki/Hoverbike
Hovercraft,https://en.wikipedia.org/wiki/Hovercraft
Hovertrain,https://en.wikipedia.org/wiki/Hovertrain
Human Brain Project,https://en.wikipedia.org/wiki/Human_Brain_Project
Human Universal Load Carrier,https://en.wikipedia.org/wiki/Human_Universal_Load_Carrier
Human enhancement,https://en.wikipedia.org/wiki/Human_enhancement
Human–computer interaction,https://en.wikipedia.org/wiki/Human%E2%80%93computer_interaction
Humavox,https://en.wikipedia.org/wiki/Humavox
Hybrid airship,https://en.wikipedia.org/wiki/Hybrid_airship
Hydrogen,https://en.wikipedia.org/wiki/Hydrogen
Hyperloop,https://en.wikipedia.org/wiki/Hyperloop
Hypersonic transport,https://en.wikipedia.org/wiki/Hypersonic_transport
Hypothetical technology,https://en.wikipedia.org/wiki/Hypothetical_technology
ISBN (identifier),https://en.wikipedia.org/wiki/ISBN_(identifier)
ISSN (identifier),https://en.wikipedia.org/wiki/ISSN_(identifier)
ISmell,https://en.wikipedia.org/wiki/ISmell
ITER,https://en.wikipedia.org/wiki/ITER
Identity (social science),https://en.wikipedia.org/wiki/Identity_(social_science)
Immersive technology,https://en.wikipedia.org/wiki/Immersive_technology
Immersive virtual reality,https://en.wikipedia.org/wiki/Immersive_virtual_reality
Immortality,https://en.wikipedia.org/wiki/Immortality
Implant (medicine),https://en.wikipedia.org/wiki/Implant_(medicine)
Industrial ecology,https://en.wikipedia.org/wiki/Industrial_ecology
Inflatable space habitat,https://en.wikipedia.org/wiki/Inflatable_space_habitat
Insulin pump,https://en.wikipedia.org/wiki/Insulin_pump#Future_developments
Integrated circuit,https://en.wikipedia.org/wiki/Integrated_circuit
Intelligent environment,https://en.wikipedia.org/wiki/Intelligent_environment
Intelligent transportation system,https://en.wikipedia.org/wiki/Intelligent_transportation_system
International Genetically Engineered Machine,https://en.wikipedia.org/wiki/International_Genetically_Engineered_Machine
Interstellar travel,https://en.wikipedia.org/wiki/Interstellar_travel
Ion-propelled aircraft,https://en.wikipedia.org/wiki/Ion-propelled_aircraft
Iron Beam,https://en.wikipedia.org/wiki/Iron_Beam
Iron Man's armor,https://en.wikipedia.org/wiki/Iron_Man%27s_armor
JX-594,https://en.wikipedia.org/wiki/JX-594
Jacquard weaving,https://en.wikipedia.org/wiki/Jacquard_weaving
Jet pack,https://en.wikipedia.org/wiki/Jet_pack
Joint replacement,https://en.wikipedia.org/wiki/Joint_replacement
Kh-47M2 Kinzhal,https://en.wikipedia.org/wiki/Kh-47M2_Kinzhal
