3D printing,https://en.wikipedia.org/wiki/3D_printing
Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
Augmented reality,https://en.wikipedia.org/wiki/Augmented_reality
Blockchain,https://en.wikipedia.org/wiki/Blockchain
Cancer vaccine,https://en.wikipedia.org/wiki/Cancer_vaccine
Cultured meat,https://en.wikipedia.org/wiki/Cultured_meat
Gene therapy,https://en.wikipedia.org/wiki/Gene_therapy
Neurotechnology,https://en.wikipedia.org/wiki/Neurotechnology
Reusable launch vehicle,https://en.wikipedia.org/wiki/Reusable_launch_vehicle
Robotics,https://en.wikipedia.org/wiki/Robotics
Smart contracts,https://en.wikipedia.org/wiki/Smart_contracts
Stem-cell therapy,https://en.wikipedia.org/wiki/Stem-cell_therapy