Company,Headquarters,Founders,Description,Sector,Website,Demo
Abundant,"San Francisco, CA, USA","Meji Abidoye, Jesse Hu, Ke Huang",On-demand human workforce for AI agents,"Workforce Management, AI",https://abundant.ai/,https://youtu.be/o55IoVw50CQ
Aditto,"San Francisco, CA, USA","Keller Maloney, Will Jack",Let AI manage your marketing,"Marketing, AI",https://aditto.co/,https://www.loom.com/share/e7084374372343b18af1972bde1e694b?sid=3ade079e-c091-49c8-99fa-5f19169dc27f
Afternoon.co,"New York, NY, USA","Roman Zubenko, Benjamin Paik",AI Bookkeeping and tax platform for ecommerce & startup founders,"Fintech, Bookkeeping",https://afternoon.co/,https://youtu.be/BXTDlFGtYLo
Alex,,Daniel Edrisian,The Cursor for Xcode,"Developer Tools, AI",https://alexcodes.app/,https://youtu.be/CEefIxm-WdA
Andoria,"San Francisco, CA, USA","Anirudh Ramprasad, Daryl Budiman",AI customer agent that generates in-app walkthroughs on demand,"Customer Service, AI",https://andoria.ai/,
ArchiLabs,"San Francisco, CA, USA","Brian Bakerman, William Meng",AI Copilot for Architects,"Architecture, AI",https://archilabs.ai/,https://www.loom.com/share/aaa3f2c0362d4144b15663940ab512f2?sid=df0dfcbe-8c12-4ba8-8a45-a6044af825a7
Asha Health,"New York, NY, USA","Akkshay Khosla, Gokul Kumarresen",We help medical practices launch their own AI clinic,"Healthcare, AI",https://asha.health/,
Astrix Health,"New York, NY, USA","Abhinav Swaminathan, Thomas Blake",Astrix builds AI purchasing agents for healthcare providers.,"Healthcare, Supply Chain, AI",https://astrix.health/,
AutoComputer,"San Francisco, CA, USA","Madhav Singhal, Rick Sugden",Desktop RPA with AI computer use,"Automation, AI",https://autocomputer.ai/,https://youtu.be/tcFpwrvB7FE
BeerMe,"New York, NY, USA","Gray Newfield, Noah Newfield","Fun, global Venmo built on USDC","Fintech, Blockchain",https://beerme.world/,https://youtu.be/ulsKCkjobHE
Bifrost Orbital,"San Francisco, CA, USA","Onkar Singh, Geffen Avraham",24/7 and real-time connectivity for satellites,"Aerospace, Connectivity",https://bifrostorbital.com/,
Bramble,"San Francisco, CA, USA","Nimesh Chakravarthi, Daniel Hsu, Deepan Mehta",The next generation Zillow,"Real Estate, AI",https://usebramble.com/,https://youtu.be/zFCG09fxJ_E
Canvas,"San Francisco, CA, USA",Essam Sleiman,AI-Copilot for Customer Success Teams,"Customer Service, AI",https://canvas.inc/,https://www.loom.com/share/46bfe7ca3ab9464a913244acc081fcb8?sid=bb73eae6-2c27-4289-bc66-f9e41d384fb4
Cekura,,"Blake Shao, Jialiang Zhou","Keep support, marketing, and sales materials up-to-date","Marketing, Customer Success, AI",https://cekura.io/,https://youtu.be/JJR7hz3dPaQ
Chorrie,"New York, NY, USA","Christopher Schlaepfer, Jorrie Brettin",Eliminate medical claim denials & underbilling with AI,"Healthcare, AI",https://chorrie.com/,https://youtu.be/orI95bsgaio
Circlemind,,"Antonio Vespoli, Luca Pinchetti, Yuhang Song",Circlemind is an open-source RAG using knowledge graphs and PageRank.,"Developer Tools, AI",https://circlemind.co/,https://youtu.be/pGYYnYxRUHw
Coblocks,"New York, NY, USA","Nisola Shobayo, Kevin Schaich",Build data pipelines in minutes with AI,"Data Engineering, AI",https://coblocks.ai/,https://youtu.be/CwfKpDh-Zbw
Codebuff,"San Francisco, CA, USA","Brandon Chen, James Grugett",The CLI tool that writes code for you,"Developer Tools, AI",https://codebuff.com/,
CollectWise,,"Sean O'Brien, Vivek Isukapalli",Automating consumer debt collection with AI,"Fintech, Legaltech, AI",https://collectwise.com/,https://www.loom.com/share/15df08dce1ea492c911ee685aabf78e7?sid=61b9e65a-2229-4f52-be13-5d66d34ad5fb
Consus,"San Francisco, CA, USA",Eric Magliarditi,Your single source of truth for government documents,"Governance, AI",https://consusindustries.co/,https://youtu.be/ouFe09NHTo4
Crustdata,"San Francisco, CA, USA","Abhilash Chowdhary, Manmohit Grewal, Chris Pisarski",Real-time B2B data via simple APIs,"HR, Marketing, AI",https://crustdata.com/,https://youtu.be/TwUYDCrdLvk
CTGT,"San Francisco, CA, USA","Cyril Gorlla, Trevor Tuttle",Entirely New AI Stack: Efficient and Safe Alternative to LLM Ecosystem,"Compliance, AI",https://ctgt.ai/,https://www.loom.com/share/7e4948fa0ccf4256b2f7036ee8d7baf4?sid=d0dcdfd4-c659-474c-aaa5-514857472b29
Curo,"San Francisco, CA, USA","Andrew Porter, Kieran White",Electric fleets park and charge anywhere with Curo,"Transportation, Energy",https://curocharging.com/,https://youtu.be/N0jcdalLpFU
Dexter,"Berlin, Germany","Bella Wu, Vincent Garrigues, Caterina Kiehntopf",AI workflow automation for field operations,"Operations, AI",https://getdexter.co/,https://youtu.be/8Ng79Oy8YUE
Diffusion Studio,"San Francisco, CA, USA","Konstantin Paulus, Matthias Ruiz",Next Generation Canva for AI Video Editing in the Browser,"Design, AI",https://diffusion.studio/,https://youtu.be/FbMyfluvdYU
Docflow,"San Francisco, CA, USA","Michael Mounajjed, Ben Liu",We build automated scheduling software for hospitals,"Healthcare, Scheduling, AI",https://mydocflow.com/,https://youtu.be/MQqcWuxvdio
Ember Copilot,"San Francisco, CA, USA","Charlene Wang, Warren Wang",The only medical scribe that reduces claim denials by 55%,"Healthcare, AI",https://embercopilot.ai/,https://youtu.be/RUkosYD-FLQ
Encore,"San Francisco, CA, USA","Alex Ruber, Parth Chopra",Conversational search and discovery for secondhand products,"E-commerce, Retail, AI",https://shopencore.ai/,https://youtu.be/nD7YIGvNa08
Fabricate,,"Lucas Crupi, Ethan Breit",Procurement for Hardware Teams,"Supply Chain, Hardware, Manufacturing, AI",https://tryfabricate.com/,https://youtu.be/SYAAd9bGSlQ
Fix AI,"San Francisco, CA, USA","Kesav Kosana, Arav Seth",AI agents that navigate websites like real users to find bugs,"Software Testing, Developer Tools, AI",https://tryfix.ai/,https://youtu.be/7K3jRZukH8E
fixa,"San Francisco, CA, USA","Jonathan Liu, Oliver Wendell-Braly",sentry for AI voice agents,"Voice Technology, AI",https://fixa.dev/,https://youtu.be/Cnhf3Vs5Dcw
Forerunner AI,"San Francisco, CA, USA","Yash Kadadi, Will Nida","Copilot for aerospace engineers making rockets, munitions, satellites","Aerospace, Engineering",https://tryforerunner.com/,https://youtu.be/0EsKdLXPFAs
Foundry,"San Francisco, CA, USA","Manil Lakabi, Pranav Raja",Retool for AI Agents,"Developer Tools, Automation, AI",https://thefoundryai.com/,https://youtu.be/0nduYlyXaxw
Fresco,"San Francisco, CA, USA","Arvind Veluvali, Akhil Gupta",AI copilot for construction superintendents,"Construction, AI",https://fresco-ai.com/,https://www.youtube.com/shorts/LOu3g9A6P2w?feature=share
Friday,"San Francisco, CA, USA","Allen Naliath, Advait Paliwal",An assistant that understands your emails and handles them for you,"Productivity, AI",https://fridaymail.ai/,https://youtu.be/2Dq11hlJhqs
Gait,"San Francisco, CA, USA","Alex Hsia, Kyle Li",Building Dev Infra for AI Software Engineers,"Developer Tools, AI",https://getgait.com/,https://youtu.be/GcQMSbYBS28
Galini,"San Francisco, CA, USA","Shaun Ayrton, Raul Zablah",Compliance guardrails-as-a-service for AI applications,"Compliance, AI",https://galini.ai/,https://youtu.be/2luqEuXK-34
Gander,"New York, NY, USA","Andrew Dixon, Arjan Guglani","LLMs For Aviation, Starting with Customer Service","Aviation, AI",https://usegander.com/,https://youtu.be/VC30v0dgt-I
Gecko Security,"San Francisco, CA, USA","Artemiy Malyshau, Jeevan Jutla",The AI Security Engineer to Find and Fix Vulnerabilities,"Cybersecurity, AI",https://gecko.security/,https://youtu.be/ObuItEP3rZk
Getcho,"New York, NY, USA","Jack Considine, Mike Considine, Evandro Nadal",The reliability platform for last-mile delivery,"Logistics, AI",https://getcho.app/,https://youtu.be/GFxJq_xekfI
HealthSpark,"San Francisco, CA, USA","Stephen Grinich, Jonah Tuchow",Launch and run an AI-native physical therapy practice,"Healthcare, AI",https://joinhealthspark.com/,https://youtu.be/MT6gWvuPjM0
Helpcare AI,"San Francisco, CA, USA","Huzaifa Sial, Ayush Tomar","AI Workers for Healthcare Orgs to Find, Call & Schedule More Patients","Healthcare, AI",https://helpcare.ai/,https://youtu.be/cWwsuSoAHgk
HumanLayer,"San Francisco, CA, USA","Vaibhav Gupta, Dexter Horthy",Human-in-the-Loop for AI Agents,"Developer Tools, AI",https://humanlayer.dev/,https://youtu.be/5sbN8rh_S5Q
HYBRD,"Boston, MA, USA","Ben Katz, Caroline ""Shoe"" Shoemaker, Matt Ruiters, Mats Terwiesch",Strava for the modern athlete,"Fitness, AI",https://hybrd.app/,https://youtu.be/ZBvnawK7If0
Innate,"Palo Alto, CA, USA","Axel Peytavin, Vignesh Anand",Teachable general-purpose robots,"Robotics, AI",https://innate.bot/,https://youtu.be/hGK0lIGT49E
ISSEN,"New York, NY, USA","Anton Apostolatos, Mariano Sorgente",AI realtime voice companion for language learning,"Education, AI",https://issen.com/,https://youtu.be/7sftLFew6eM
Karmen,"San Francisco, CA, USA","Jonas Ebrahimi, Naman Wahi",AI Assistant for Construction Project Managers,"Construction, AI",https://karmenai.com/,https://youtu.be/YtrQeMM5Yps
Keye,"New York, NY, USA","Rohan Parikh, Conor Brown, Lalit Lal",The Smartest Private Equity Investor,"Private Equity, AI",https://keye.co/,https://www.loom.com/share/ab97cda368214714a28a932dc6a8a494?sid=33dd6625-bb69-4dc4-a46d-5f22814940fa
Lightscreen AI,"Sunnyvale, CA, USA","Prachie Banthia, Gavin Saldanha",Voice + video AI interviewer,"Recruitment, AI",https://lightscreen.ai/,https://youtu.be/mXRCfDuGpSA
Lune AI,"San Francisco, CA, USA","Sam Park, Josh Park",Better GPT and Claude for coding,"Developer Tools, AI",https://lune.dev/,https://youtu.be/Zwokp23C3ek
Luthor,,"Glenn Espinosa, John Espinosa",AI Copilot for Marketing Compliance,"Marketing, Compliance, AI",https://luthor.ai/,https://youtu.be/3iyKloVbA4k
Melder,"New York, NY, USA","Ashwin Dharne, Phil Brewer",AI Data Integration for Supply Chain,"Supply Chain, Procurement, AI",https://melder.io/,https://youtu.be/4QDDmMWchmw
Metreecs,,"Martin Dimitrov, Elie Dufeu, Thibaut Pellegrin",AI-powered demand forecasting for retail,"Retail, AI",https://www.metreecs.com/,
Moonshine,"San Francisco, CA, USA","Ganesh Pimpale, Harsha Gundala",APIs for video understanding,"Video Analysis, AI",https://usemoonshine.com/,https://youtu.be/oO332ljpqvs
OpenClinic,"San Francisco, CA, USA","Nabil Belahouane, Hassan Mirza, Riyan Moussaoui, Usama Syed","Digital healthcare clinics that are 99% AI, 1% doctor","Healthcare, AI",https://tryopenclinic.com/,https://youtu.be/cUoLpodvLwE
OpenFunnel,"San Francisco, CA, USA","Aditya Lahiri, Fenil Suchak",Personalised Agents for AI-First GTM Teams,"Marketing, AI, AI Assistant",https://openfunnel.dev/,https://youtu.be/n8QMtShty88
Origami Agents,"San Francisco, CA, USA","Kenson Chung, Finn Mallery",Agents that find your perfect customers,"Customer Service, AI",https://origami-agents.com/,https://youtu.be/gTavVBPGkLU
Pear AI,"San Francisco, CA, USA","Duke Pan, Nang Ang",VSCode For The New Age of AI,"Developer Tools, AI",https://trypear.ai/,https://youtu.be/UpxhRnKj5Ck
Pearson Labs,"San Francisco, CA, USA","Stephanie Young, Qi Yang",AI agents to automate corporate transactions,"Fintech, Legaltech, AI",https://pearsonlabs.ai/,
PermitPortal,"San Francisco, CA, USA","Alexandru Enache, Radu M.",AI Operating System for Pre-construction,"Construction, AI",https://permitportalapp.com/,https://youtu.be/lOYsVPDtKUA
Platus,,"Felix Gerlach, Alexander Sporenberg","Instant Legal Infrastructure - Draft, Sign, Notarize & Process","Legaltech, Automation, AI",https://platus.com/,https://youtu.be/IlynObmr_sQ
Praxis AI,"New York, NY, USA","Ransika Liyanage, Aditya Tewari",Manufacturing reasoning agents to predict and prevent machine failures,"Manufacturing, AI",https://praxis-tech.ai/,https://youtu.be/qJ41WG_X8pw
Protegee,"San Francisco, CA, USA","Kirthi Banothu, Xiaoyu Li",Payments API for AI Voice Agents,"Fintech, AI",https://protegee.ai/,https://www.tella.tv/video/cm2hvf0iz000503l259wm2kir
Raycaster,"San Francisco, CA, USA","Levi Lian, Anthony Humay",Research agent for scientific sales,"Sales, Biotech, AI",https://raycaster.ai/,https://youtu.be/krkDTHqBhMc
Recase,,"Ayush Rodrigues, John Yeo",Build internal automation and run it from Slack,"Automation, AI",https://recaseai.com/,
Regatta Storage,"San Francisco, CA, USA",Hunter Leath,"Transform S3 in an unlimited, local file system","Cloud Storage, Developer Tools, AI",https://regattastorage.com/,
Relvy AI,,"Bharath Bhat, Simranjit Singh",Efficient AI for monitoring production software,"Developer Tools, AI",https://relvy.ai/,https://youtu.be/j_8wLDFMGNM
Replexica,"San Francisco, CA, USA","Veronica Prilutskaya, Max Prilutskiy",Automated AI localization for dev teams,"Developer Tools, AI",https://replexica.com/,https://youtu.be/9hwzNfzlMFk
Reticular,"San Francisco, CA, USA","Nithin Parsan, John Yang",Interpretable AI for drug discovery,"Healthcare, Drug Discovery, AI",https://reticular.ai/,http://demo.reticular.ai/
Revi,"San Francisco, CA, USA","Max Nuyen, Benjamin McKinzey",AI-enabled M&A deal origination,"Fintech, AI",https://revi.ai/,https://youtu.be/mYW3zsotlag
Revyl,"San Francisco, CA, USA","Landseer Enga, Anam Hira",Proactive observability,"Developer Tools, AI",https://revyl.ai/,https://youtu.be/Zy7yXTomh7M
RiskCube,"San Francisco, CA, USA",Andrei Craciunescu,Digital insurance brokerage for property & casualty risks.,"Insurance, AI",https://riskcube.com/,https://youtu.be/fm7p6KYl7EQ
Riveter AI,"San Francisco, CA, USA","Abigail Grills, Erica Clark",The copilot for corporate strategy,"Business Strategy, AI",https://riveterhq.com/,https://youtu.be/thmATCmTy5g
Roundabout Technologies,"San Francisco, CA, USA","Sabeek Pradhan, Collin Barnwell",Software for AI-powered traffic lights,"Transportation, AI",https://roundabout.tech/,
Rulebase,,"Gideon Ebose, Chidi Williams",AI agents for fraud detection and investigations.,"Fraud Detection, AI",https://rulebase.co/,https://youtu.be/Cwy7tySntyc
Ryvn,"San Francisco, CA, USA","Albert Lam, Shardool Patel","Deploy, update, and monitor applications in customer clouds / on-prem","Cloud Computing, Developer Tools, AIOps",https://ryvn.ai/,https://youtu.be/1wTY1a0KKPU
Sandra AI,"Paris, France","Badr El Idrissi Mokdad, Ismail Majjad, Skandere Sahli","Building AI employees for car dealers, starting with AI receptionists","Automotive, AI",https://sandra-ai.com/,https://youtu.be/USVY_NldBmY
Scrapybara,"San Francisco, CA, USA","Nalin Semwal, Justin Sun",Virtual Desktops for AI Agents,"AI, Productivity, Developer Tools",https://scrapybara.com/,https://youtu.be/ZjPTAb5bg-w
ShowAndTell,"San Francisco, CA, USA","Daniel Bessonov, Justin Zhou",Agents for dental operations,"Healthcare, AI",https://tryshowandtell.com/,https://youtu.be/2YC0PhBzYDw
Sphinx,"San Francisco, CA, USA","Alexandre Berkovic, Chrisjan Wust",AI Compliance Analysts for Banks & Fintechs,"Compliance, Fintech, AI",https://sphinxlabs.ai/,https://youtu.be/b-pM89SGVJA
SRE.ai,"San Francisco, CA, USA","Edward Aryee, Raj Kadiyala",Automated DevOps for Low-Code Platforms,"Developer Tools, AI",https://sre.ai/,https://youtu.be/fMyfVek8zAI
StudyDojo,,"Bowen Liu, Janet Liu, Michael Tong",AI tutors for students.,"Education, AI",https://studydojo.com/,https://youtu.be/pSdzytBNJrA
Summed AI,"Seattle, WA, USA","Kevin Bao, Tyler Rich, Sherril Wang",The AI Copilot for Insurance Agents,"Insurance, AI",https://summed.ai/,https://youtu.be/aogwdsTc0Bs
Sunset,,"Kaela Worthen, Stephen Walter",Find and move money after a death,"Fintech, Estate Management",https://sunsetapp.com/,https://youtu.be/LiYhdOZJyMY
supercontrast,"San Francisco, CA, USA","Shravan Kumaran, Carter McClellan",AI Co-Pilot for Design,"Design, AI",https://supercontrast.com/,
Surge,"Lehi, UT, USA","Dennis Beatty, Brett Beatty",Stripe for telephony,"Telecommunications, SMS",https://surgemsg.com/,https://youtu.be/3cTyfiw5jtE
Symphony,"New York, NY, USA","Murtaza Ali, Shobhit Srivastava",Voice AI sims for next-gen employee training,"HR, AI",https://getsymphony.co/,https://youtu.be/A6dJYCylNiY
Synth,"San Francisco, CA, USA",Josh Purtell,We help AI agents learn from data.,"Infrastructure, AI",https://usesynth.ai/,https://youtu.be/DwC8iBLpWdU
telli,"Berlin, Germany","Philipp Baumanns, Seb Hapte-Selassie, Finn zur Muehlen",outbound call automation for B2C companies,"Customer Service, AI",https://telli.com/en/,https://youtu.be/7xjIwZf37-M
Tiny,"Singapore, Singapore","Louis de Valliere, Edward Zhang",A new kind of ERP system for factories,"ERP, Manufacturing",https://andtiny.com/,https://youtu.be/kmhj7bozMro
Upshift,"Charlotte, NC, USA","Adam Suskin, Thomas Baker",Turn your software product into a platform.,"Developer Tools, AI",https://upshift.dev/,https://www.loom.com/share/67856e9942594d8da1343e2df26b2317?sid=cf84e15d-9acd-40c1-aa88-8129fa9f06ba
Variant,"San Francisco, CA, USA","Ben South Lee, Daniel Bulhosa Solorzano",Building the state-of-the-art model for software design,"Developer Tools, AI",https://variant.ai/,
Vespper,"Tel Aviv-Yafo, Tel Aviv District, Israel","Dudu Lasry, Topaz Turkenitz","AI agent that troubleshoots production alerts for software engineers,…","Developer Tools, AI, AI Assistant",https://vespper.com/,https://youtu.be/uN888sOaIig
vly.ai,"San Francisco, CA, USA","Victor Cheng, Manav Bokinala, Amir Farahani",Helping companies build full-stack software without developers,"Software Development, AI",https://vly.ai/,https://youtu.be/M4QcpDVFR2c
Vocera,"San Francisco, CA, USA","Sidhant Kabra, Shashij Gupta, Tarush Agarwal",Testing & Observability for AI voice agents,"Developer Tools, AI",https://vocera.ai/,https://youtu.be/SZFmBSwOzAU